cancelacion,genero,jubilado,en_pareja,dependientes,meses_contrato,servicio_telefonico,multiples_lineas,servicio_internet,seguridad_online,respaldo_online,proteccion_dispositivo,soporte_efectivo,streaming_TV,streaming_peliculas,tipo_contrato,facturacion_electronica,metodo_pago,cuenta_mensual,cuentas_total,cuentas_diarias
0,Femenino,No,Si,Si,9,Si,No,DSL,No,Si,No,Si,Si,No,un year,Si,cheque por correo,65.6,593.3,0.24296296296296294
0,Masculino,No,No,No,9,Si,Si,DSL,No,No,No,No,No,Si,mes a mes,No,cheque por correo,59.9,542.4,0.22185185185185186
1,Masculino,No,No,No,4,Si,No,Fibra_optica,No,No,Si,No,No,No,mes a mes,Si,cheque electronico,73.9,280.85,0.6158333333333333
1,Masculino,Si,Si,No,13,Si,No,Fibra_optica,No,Si,Si,No,Si,Si,mes a mes,Si,cheque electronico,98.0,1237.85,0.2512820512820513
1,Femenino,Si,Si,No,3,Si,No,Fibra_optica,No,No,No,Si,Si,No,mes a mes,Si,cheque por correo,83.9,267.4,0.9322222222222223
0,Femenino,No,No,Si,9,Si,No,DSL,No,No,No,Si,Si,Si,mes a mes,Si,tarjeta de credito,69.4,571.45,0.25703703703703706
0,Femenino,Si,Si,No,71,Si,No,Fibra_optica,Si,Si,Si,Si,Si,Si,dos years,Si,transferencia,109.7,7904.25,0.05150234741784038
0,Masculino,No,Si,No,63,Si,Si,Fibra_optica,Si,No,No,Si,No,No,dos years,Si,tarjeta de credito,84.65,5377.8,0.044788359788359794
0,Femenino,Si,No,No,7,Si,No,DSL,Si,No,No,No,No,No,mes a mes,Si,cheque electronico,48.2,340.35,0.22952380952380955
0,Femenino,No,Si,Si,65,Si,Si,DSL,Si,Si,Si,Si,Si,Si,dos years,Si,cheque por correo,90.45,5957.9,0.046384615384615385
0,Masculino,No,No,No,54,No,sin servicio teleonico,DSL,Si,No,No,Si,Si,No,dos years,No,tarjeta de credito,45.2,2460.55,0.027901234567901237
0,Femenino,No,Si,Si,72,Si,Si,Fibra_optica,Si,Si,Si,Si,Si,Si,dos years,Si,tarjeta de credito,116.8,8456.75,0.05407407407407407
0,Femenino,No,Si,No,5,Si,No,Fibra_optica,No,No,No,No,No,No,mes a mes,Si,cheque electronico,68.95,351.5,0.45966666666666667
0,Femenino,No,No,No,72,Si,Si,Fibra_optica,Si,Si,Si,No,Si,No,dos years,Si,transferencia,101.3,7261.25,0.04689814814814815
0,Femenino,No,No,No,56,No,sin servicio teleonico,DSL,Si,Si,Si,Si,No,No,dos years,No,transferencia,45.05,2560.1,0.026815476190476188
0,Femenino,No,Si,Si,71,Si,Si,Fibra_optica,No,Si,Si,No,No,Si,dos years,Si,tarjeta de credito,95.75,6849.4,0.044953051643192486
0,Femenino,No,Si,Si,34,No,sin servicio teleonico,DSL,Si,No,Si,Si,Si,Si,un year,No,cheque por correo,61.25,1993.2,0.06004901960784314
0,Femenino,Si,No,No,1,Si,Si,Fibra_optica,No,No,No,No,No,No,mes a mes,Si,cheque electronico,72.1,72.1,2.4033333333333333
1,Masculino,Si,No,No,45,Si,No,DSL,Si,No,Si,No,No,Si,un year,No,tarjeta de credito,62.7,2791.5,0.04644444444444445
1,Masculino,Si,No,No,1,No,sin servicio teleonico,DSL,No,No,No,No,No,No,mes a mes,Si,cheque electronico,25.1,25.1,0.8366666666666667
0,Femenino,Si,Si,No,50,Si,Si,No,No,No,No,No,No,No,un year,No,cheque electronico,25.2,1306.3,0.0168
1,Femenino,No,Si,No,13,Si,Si,Fibra_optica,No,Si,Si,No,Si,No,mes a mes,No,cheque electronico,94.1,1215.6,0.24128205128205127
0,Femenino,No,Si,Si,23,Si,Si,Fibra_optica,No,No,No,No,Si,No,mes a mes,Si,cheque electronico,83.75,1849.95,0.1213768115942029
0,Femenino,No,No,No,3,Si,No,No,No,No,No,No,No,No,mes a mes,No,cheque por correo,19.85,57.2,0.22055555555555556
1,Femenino,No,Si,Si,4,Si,No,No,No,No,No,No,No,No,mes a mes,No,cheque por correo,20.35,76.35,0.16958333333333334
1,Femenino,No,Si,Si,1,No,sin servicio teleonico,DSL,Si,No,No,No,No,No,mes a mes,No,transferencia,30.5,30.5,1.0166666666666666
0,Femenino,No,Si,Si,55,Si,No,Fibra_optica,No,Si,Si,Si,Si,Si,un year,Si,transferencia,103.7,5656.75,0.06284848484848485
0,Masculino,No,Si,Si,54,Si,No,No,No,No,No,No,No,No,dos years,No,tarjeta de credito,20.4,1090.6,0.012592592592592591
0,Masculino,No,No,No,26,Si,No,No,No,No,No,No,No,No,un year,Si,transferencia,19.6,471.85,0.02512820512820513
0,Femenino,No,Si,Si,69,Si,No,No,No,No,No,No,No,No,dos years,No,transferencia,19.7,1396.9,0.009516908212560387
